path_paras,trial,model_name,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A10_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A10_test,A20_test
tanh-13-RMSE,1,HGSO-ELM,"{'epoch': 1000, 'pop_size': 50, 'n_clusters': 2}",686.566,686.582,1.0923,1.76873,0.97009,0.94107,0.173,0.94107,0.95727,0.88625,223.28287,94.10662,0.39657,0.70074,1.18965,2.12944,0.92922,0.85605,0.15023,0.85605,0.92583,0.81818,15.17733,85.66866,0.50871,0.74564
tanh-13-RMSE,1,ASO-ELM,"{'epoch': 1000, 'pop_size': 50, 'alpha': 10, 'beta': 0.2}",958.476,958.531,1.09867,1.81298,0.96855,0.93808,0.16254,0.93808,0.9548,0.87234,228.16736,93.8081,0.42191,0.71545,1.41427,2.41223,0.91829,0.81528,0.18572,0.81528,0.90135,0.75524,-47.71025,81.92907,0.4216,0.69338
tanh-13-RMSE,1,GSKA-ELM,"{'epoch': 1000, 'pop_size': 50, 'pb': 0.1, 'kf': 0.5, 'kr': 0.9, 'kg': 5}",594.513,594.52,1.03582,1.63185,0.9746,0.94983,0.1578,0.94983,0.96514,0.88216,241.59718,94.98376,0.435,0.71545,1.32464,2.16762,0.93001,0.85084,0.18323,0.85084,0.90053,0.80769,-89.94661,85.6463,0.38328,0.69686
tanh-13-RMSE,1,LCO-ELM,"{'epoch': 1000, 'pop_size': 50, 'r1': 2.35}",672.301,672.352,0.99991,1.65694,0.9738,0.94828,0.15174,0.94828,0.96299,0.90344,205.45404,94.82798,0.4628,0.74816,1.21029,2.08908,0.93152,0.86145,0.1644,0.86145,0.90838,0.79021,-43.02949,86.39512,0.45645,0.71429
tanh-13-RMSE,1,SMA-ELM,"{'epoch': 1000, 'pop_size': 50, 'p_t': 0.03}",725.167,725.224,1.05214,1.68906,0.97276,0.94626,0.16697,0.94626,0.96147,0.88625,223.46956,94.62556,0.41619,0.6991,1.23476,2.12463,0.92896,0.8567,0.1712,0.8567,0.89417,0.79021,-61.76656,86.01448,0.4216,0.71777
tanh-13-RMSE,1,SOA-ELM,"{'epoch': 1000, 'pop_size': 50, 'fc': 2}",712.436,712.448,1.07348,1.75418,0.97058,0.94203,0.16611,0.94203,0.95917,0.89444,252.29176,94.2033,0.40638,0.69828,1.28027,2.1348,0.92776,0.85532,0.18154,0.85532,0.8834,0.7972,-63.42023,85.90692,0.39721,0.70035
tanh-13-RMSE,1,TSA-ELM,"{'epoch': 1000, 'pop_size': 50}",700.111,700.125,1.03872,1.65878,0.97374,0.94817,0.16512,0.94817,0.96291,0.86661,219.14663,94.81654,0.41292,0.69828,1.21942,2.07855,0.93174,0.86285,0.16962,0.86285,0.90348,0.8042,-42.71623,86.54101,0.44948,0.73171
tanh-13-RMSE,1,AEO-ELM,"{'epoch': 1000, 'pop_size': 50}",684.82,684.86,1.023,1.61798,0.97503,0.95068,0.16103,0.95068,0.96472,0.88134,214.11804,95.06834,0.42682,0.713,1.33194,2.17306,0.93077,0.85009,0.19083,0.85009,0.90015,0.7972,-97.92711,85.64459,0.37979,0.68293
tanh-13-RMSE,1,HS-ELM,"{'epoch': 1000, 'pop_size': 50, 'c_r': 0.95, 'pa_r': 0.05}",697.671,697.693,0.92237,1.49563,0.9787,0.95786,0.13797,0.95786,0.96933,0.89689,164.49982,95.78605,0.50286,0.78659,1.2123,2.27626,0.92597,0.83551,0.15109,0.83551,0.91243,0.82517,-29.83982,83.7731,0.48084,0.76655
tanh-13-RMSE,1,GBO-ELM,"{'epoch': 1000, 'pop_size': 50, 'pr': 0.5, 'beta_min': 0.2, 'beta_max': 1.2}",813.379,813.432,0.91101,1.47787,0.97921,0.95885,0.1411,0.95885,0.97072,0.88707,176.17731,95.88548,0.47833,0.78741,1.21805,2.21072,0.93467,0.84485,0.1508,0.84485,0.906,0.81818,-38.07387,84.73391,0.4669,0.77003
tanh-13-RMSE,1,PSS-ELM,"{'epoch': 1000, 'pop_size': 50, 'acceptance_rate': 0.9, 'sampling_method': 'LHS'}",449.998,450.002,0.99246,1.57467,0.97637,0.95329,0.16317,0.95329,0.96686,0.89853,218.4245,95.32888,0.43173,0.69501,1.26279,2.0871,0.93531,0.86172,0.17828,0.86172,0.91166,0.7972,-77.97585,86.62705,0.43206,0.71777
tanh-13-RMSE,1,INFO-ELM,"{'epoch': 1000, 'pop_size': 50}",393.229,393.249,0.90628,1.4423,0.98021,0.96081,0.13789,0.96081,0.97195,0.89607,166.76127,96.08118,0.49387,0.78005,1.24508,2.27911,0.92329,0.8351,0.15439,0.8351,0.90579,0.81818,-74.05863,83.93691,0.49826,0.77003
